Outlet_ID,Distributor_ID,Outlet_Type,Cooler_Count,Trade_Spend_LKR,Discount_LKR,Merchandising_LKR,Promotional_LKR,w_discount,w_merchandising,w_promotional
OUT_00029,DIST_W_02,SMMT,3,1731.09,692.44,692.43,346.22,0.4,0.4,0.2
OUT_00030,DIST_W_01,Grocery,4,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00031,DIST_W_03,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00032,DIST_W_02,SMMT,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00033,DIST_W_03,Hotel,1,10.71,4.28,4.29,2.14,0.4,0.4,0.2
OUT_00034,DIST_W_03,Grocery,5,1748.83,699.53,699.53,349.77,0.4,0.4,0.2
OUT_00035,DIST_W_01,Bakery,5,2208.66,883.46,883.47,441.73,0.4,0.4,0.2
OUT_00036,DIST_W_03,Kiosk,0,81.41,16.28,44.78,20.35,0.2,0.55,0.25
OUT_00037,DIST_W_03,Bakery,2,2042.78,817.11,817.11,408.56,0.4,0.4,0.2
OUT_00038,DIST_W_03,Bakery,2,312.38,62.48,93.71,156.19,0.2,0.3,0.5
OUT_00039,DIST_W_01,Eatery,1,477.13,95.43,143.14,238.56,0.2,0.3,0.5
OUT_00040,DIST_W_01,SMMT,4,2654.85,1061.94,1061.94,530.97,0.4,0.4,0.2
OUT_00041,DIST_W_03,Grocery,3,2388.6,955.44,955.44,477.72,0.4,0.4,0.2
OUT_00042,DIST_W_02,Bakery,2,228.84,91.54,91.53,45.77,0.4,0.4,0.2
OUT_00043,DIST_W_01,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00044,DIST_W_01,Grocery,1,6.86,2.74,2.75,1.37,0.4,0.4,0.2
OUT_00045,DIST_W_03,Grocery,2,275.09,110.04,110.03,55.02,0.4,0.4,0.2
OUT_00046,DIST_W_02,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00047,DIST_W_03,Grocery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00048,DIST_W_01,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00049,DIST_W_01,Hotel,3,2202.72,440.54,660.82,1101.36,0.2,0.3,0.5
OUT_00050,DIST_W_01,Grocery,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00051,DIST_W_01,SMMT,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00052,DIST_W_02,Pharmacy,1,725.39,290.16,290.15,145.08,0.4,0.4,0.2
OUT_00053,DIST_W_02,SMMT,2,93.09,37.24,37.23,18.62,0.4,0.4,0.2
OUT_00054,DIST_W_02,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00055,DIST_W_01,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00056,DIST_W_02,Kiosk,0,0.21,0.04,0.12,0.05,0.2,0.55,0.25
OUT_00057,DIST_W_02,SMMT,4,1023.76,409.5,409.51,204.75,0.4,0.4,0.2
OUT_00058,DIST_W_03,Grocery,1,401.01,160.4,160.41,80.2,0.4,0.4,0.2
OUT_00059,DIST_W_02,Grocery,2,10.35,4.14,4.14,2.07,0.4,0.4,0.2
OUT_00060,DIST_W_02,Grocery,1,469.13,187.65,187.65,93.83,0.4,0.4,0.2
OUT_00061,DIST_W_01,Kiosk,1,121.24,48.5,48.49,24.25,0.4,0.4,0.2
OUT_00062,DIST_W_01,Pharmacy,3,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00063,DIST_W_03,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00064,DIST_W_03,Grocery,1,242.38,96.95,96.95,48.48,0.4,0.4,0.2
OUT_00065,DIST_W_02,Grocery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00066,DIST_W_01,Hotel,1,19.55,7.82,7.82,3.91,0.4,0.4,0.2
OUT_00067,DIST_W_02,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00068,DIST_W_03,Kiosk,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00069,DIST_W_02,Grocery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00070,DIST_W_02,Kiosk,1,46.53,18.61,18.61,9.31,0.4,0.4,0.2
OUT_00071,DIST_W_02,Grocery,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00072,DIST_W_03,Bakery,5,690.12,276.05,276.05,138.02,0.4,0.4,0.2
OUT_00073,DIST_W_03,Hotel,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00074,DIST_W_03,Eatery,5,853.05,341.22,341.22,170.61,0.4,0.4,0.2
OUT_00075,DIST_W_03,Eatery,0,0.57,0.11,0.32,0.14,0.2,0.55,0.25
OUT_00076,DIST_W_01,Pharmacy,3,1191.79,476.72,476.71,238.36,0.4,0.4,0.2
OUT_00077,DIST_W_02,Bakery,1,80.23,32.09,32.09,16.05,0.4,0.4,0.2
OUT_00078,DIST_W_01,Eatery,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00079,DIST_W_03,Kiosk,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00080,DIST_W_03,Grocery,2,825.97,330.39,330.39,165.19,0.4,0.4,0.2
OUT_00081,DIST_W_01,Grocery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00082,DIST_W_02,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00083,DIST_W_01,Kiosk,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00084,DIST_W_01,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00085,DIST_W_03,Hotel,1,184.26,36.85,55.28,92.13,0.2,0.3,0.5
OUT_00086,DIST_W_02,Bakery,1,7.98,3.19,3.19,1.6,0.4,0.4,0.2
OUT_00087,DIST_W_02,Grocery,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00088,DIST_W_02,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00089,DIST_W_02,Bakery,0,18.71,3.74,10.29,4.68,0.2,0.55,0.25
OUT_00091,DIST_W_02,Hotel,1,48.37,19.35,19.35,9.67,0.4,0.4,0.2
OUT_00092,DIST_W_02,Pharmacy,4,1038.35,207.67,311.51,519.17,0.2,0.3,0.5
OUT_00093,DIST_W_02,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00094,DIST_W_03,Grocery,2,28.32,11.33,11.33,5.66,0.4,0.4,0.2
OUT_00095,DIST_W_01,Grocery,1,1.62,0.65,0.65,0.32,0.4,0.4,0.2
OUT_00096,DIST_W_03,Hotel,3,2206.44,441.29,661.93,1103.22,0.2,0.3,0.5
OUT_00097,DIST_W_03,Eatery,1,51.37,20.55,20.55,10.27,0.4,0.4,0.2
OUT_00098,DIST_W_03,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00099,DIST_W_03,Pharmacy,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00100,DIST_W_02,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00101,DIST_W_01,Bakery,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00102,DIST_W_01,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00103,DIST_W_02,Bakery,5,573.05,229.22,229.22,114.61,0.4,0.4,0.2
OUT_00104,DIST_W_02,Hotel,2,1660.05,498.02,747.02,415.01,0.3,0.45,0.25
OUT_00105,DIST_W_01,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00106,DIST_W_02,Hotel,2,847.2,338.88,338.88,169.44,0.4,0.4,0.2
OUT_00107,DIST_W_03,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00108,DIST_W_01,SMMT,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00109,DIST_W_02,Grocery,0,27.47,5.49,15.11,6.87,0.2,0.55,0.25
OUT_00110,DIST_W_01,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00111,DIST_W_02,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00112,DIST_W_02,Pharmacy,3,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00113,DIST_W_03,Hotel,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00114,DIST_W_03,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00115,DIST_W_03,Kiosk,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00116,DIST_W_03,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00117,DIST_W_02,Grocery,3,1152.3,460.92,460.92,230.46,0.4,0.4,0.2
OUT_00118,DIST_W_02,Hotel,2,13.28,5.31,5.31,2.66,0.4,0.4,0.2
OUT_00119,DIST_W_03,SMMT,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00120,DIST_W_01,Bakery,4,850.24,340.1,340.09,170.05,0.4,0.4,0.2
OUT_00121,DIST_W_02,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00122,DIST_W_01,Grocery,1,89.1,35.64,35.64,17.82,0.4,0.4,0.2
OUT_00123,DIST_W_01,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00124,DIST_W_01,Pharmacy,2,155.73,62.29,62.29,31.15,0.4,0.4,0.2
OUT_00125,DIST_W_01,Grocery,1,0.0,0.0,0.0,0.0,0.2,0.3,0.5
OUT_00126,DIST_W_03,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00127,DIST_W_02,Bakery,2,36.27,14.51,14.51,7.25,0.4,0.4,0.2
OUT_00128,DIST_W_03,SMMT,4,611.3,244.52,244.52,122.26,0.4,0.4,0.2
OUT_00129,DIST_W_02,Grocery,1,33.55,13.42,13.42,6.71,0.4,0.4,0.2
OUT_00130,DIST_W_03,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00131,DIST_W_01,Eatery,2,0.02,0.01,0.01,0.0,0.4,0.4,0.2
OUT_00132,DIST_W_03,Eatery,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00133,DIST_W_03,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00134,DIST_W_03,Grocery,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00135,DIST_W_02,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00136,DIST_W_03,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00137,DIST_W_03,Kiosk,5,842.8,337.12,337.12,168.56,0.4,0.4,0.2
OUT_00138,DIST_W_02,Bakery,0,0.11,0.02,0.06,0.03,0.2,0.55,0.25
OUT_00139,DIST_W_03,Hotel,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00140,DIST_W_02,Grocery,2,15.29,6.12,6.11,3.06,0.4,0.4,0.2
OUT_00141,DIST_W_01,Pharmacy,2,2.38,0.95,0.95,0.48,0.4,0.4,0.2
OUT_00142,DIST_W_01,Pharmacy,1,18.62,7.45,7.45,3.72,0.4,0.4,0.2
OUT_00143,DIST_W_03,Hotel,2,176.62,70.65,70.65,35.32,0.4,0.4,0.2
OUT_00144,DIST_W_03,Grocery,1,1.58,0.63,0.63,0.32,0.4,0.4,0.2
OUT_00145,DIST_W_03,Grocery,1,164.61,65.84,65.85,32.92,0.4,0.4,0.2
OUT_00146,DIST_W_02,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00147,DIST_W_01,Kiosk,2,20.93,8.37,8.37,4.19,0.4,0.4,0.2
OUT_00148,DIST_W_01,Pharmacy,2,2.47,0.99,0.99,0.49,0.4,0.4,0.2
OUT_00149,DIST_W_03,Pharmacy,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00150,DIST_W_01,SMMT,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00151,DIST_W_01,SMMT,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00152,DIST_W_03,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00153,DIST_W_03,Eatery,2,183.33,73.33,73.33,36.67,0.4,0.4,0.2
OUT_00154,DIST_W_01,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00155,DIST_W_01,SMMT,1,0.22,0.09,0.09,0.04,0.4,0.4,0.2
OUT_00156,DIST_W_02,Eatery,1,13.29,5.32,5.31,2.66,0.4,0.4,0.2
OUT_00157,DIST_W_03,Kiosk,0,135.42,27.08,74.49,33.85,0.2,0.55,0.25
OUT_00158,DIST_W_01,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00159,DIST_W_03,Bakery,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00160,DIST_W_02,Pharmacy,3,1312.91,525.16,525.17,262.58,0.4,0.4,0.2
OUT_00161,DIST_W_02,Hotel,2,215.14,43.03,64.54,107.57,0.2,0.3,0.5
OUT_00162,DIST_W_01,Kiosk,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00163,DIST_W_01,SMMT,5,709.09,283.64,283.63,141.82,0.4,0.4,0.2
OUT_00164,DIST_W_02,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00165,DIST_W_03,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00166,DIST_W_01,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00167,DIST_W_01,Kiosk,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00168,DIST_W_03,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00169,DIST_W_03,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00170,DIST_W_02,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00171,DIST_W_01,Eatery,2,170.56,68.22,68.23,34.11,0.4,0.4,0.2
OUT_00172,DIST_W_03,Grocery,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00173,DIST_W_03,SMMT,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00174,DIST_W_03,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00175,DIST_W_01,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00176,DIST_W_03,Kiosk,2,65.79,26.32,26.31,13.16,0.4,0.4,0.2
OUT_00177,DIST_W_03,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00178,DIST_W_02,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00179,DIST_W_02,Grocery,5,1022.98,409.19,409.19,204.6,0.4,0.4,0.2
OUT_00180,DIST_W_03,Pharmacy,1,165.49,66.2,66.19,33.1,0.4,0.4,0.2
OUT_00181,DIST_W_03,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00182,DIST_W_02,Kiosk,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00183,DIST_W_03,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00184,DIST_W_03,Hotel,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00185,DIST_W_03,Eatery,1,70.25,28.1,28.1,14.05,0.4,0.4,0.2
OUT_00186,DIST_W_03,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00187,DIST_W_01,Pharmacy,1,0.0,0.0,0.0,0.0,0.2,0.3,0.5
OUT_00188,DIST_W_02,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00189,DIST_W_01,Grocery,1,568.5,227.4,227.4,113.7,0.4,0.4,0.2
OUT_00190,DIST_W_03,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00191,DIST_W_03,Hotel,5,1719.07,687.63,687.63,343.81,0.4,0.4,0.2
OUT_00192,DIST_W_02,Eatery,1,56.55,22.62,22.62,11.31,0.4,0.4,0.2
OUT_00193,DIST_W_02,SMMT,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00194,DIST_W_01,Eatery,1,220.91,88.36,88.37,44.18,0.4,0.4,0.2
OUT_00195,DIST_W_02,Eatery,2,161.95,64.78,64.78,32.39,0.4,0.4,0.2
OUT_00196,DIST_W_03,Hotel,1,0.0,0.0,0.0,0.0,0.3,0.45,0.25
OUT_00197,DIST_W_01,Bakery,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00198,DIST_W_02,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00199,DIST_W_03,Pharmacy,2,1166.06,466.42,466.43,233.21,0.4,0.4,0.2
OUT_00200,DIST_W_01,Grocery,1,28.87,11.55,11.55,5.77,0.4,0.4,0.2
OUT_00201,DIST_W_01,Eatery,2,64.42,25.77,25.77,12.88,0.4,0.4,0.2
OUT_00202,DIST_W_02,Bakery,2,2.74,1.1,1.09,0.55,0.4,0.4,0.2
OUT_00203,DIST_W_03,Grocery,1,1.41,0.56,0.57,0.28,0.4,0.4,0.2
OUT_00204,DIST_W_03,Pharmacy,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00205,DIST_W_03,Eatery,4,997.94,399.18,399.17,199.59,0.4,0.4,0.2
OUT_00206,DIST_W_01,SMMT,5,943.97,377.59,377.59,188.79,0.4,0.4,0.2
OUT_00207,DIST_W_02,SMMT,1,0.0,0.0,0.0,0.0,0.2,0.3,0.5
OUT_00208,DIST_W_02,SMMT,3,937.18,374.87,374.87,187.44,0.4,0.4,0.2
OUT_00209,DIST_W_02,Bakery,1,10.0,2.0,3.0,5.0,0.2,0.3,0.5
OUT_00210,DIST_W_02,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00211,DIST_W_01,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00212,DIST_W_03,Bakery,5,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00213,DIST_W_01,Kiosk,3,1339.25,535.7,535.7,267.85,0.4,0.4,0.2
OUT_00214,DIST_W_02,SMMT,4,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00215,DIST_W_03,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00216,DIST_W_01,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00217,DIST_W_01,Grocery,0,3.4,0.68,1.87,0.85,0.2,0.55,0.25
OUT_00218,DIST_W_02,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00219,DIST_W_01,Grocery,4,1480.67,592.27,592.27,296.13,0.4,0.4,0.2
OUT_00220,DIST_W_03,Hotel,2,1542.5,617.0,617.0,308.5,0.4,0.4,0.2
OUT_00221,DIST_W_03,Pharmacy,4,933.85,186.77,280.16,466.92,0.2,0.3,0.5
OUT_00222,DIST_W_03,Pharmacy,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00223,DIST_W_02,Grocery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00224,DIST_W_02,SMMT,3,1661.57,664.63,664.63,332.31,0.4,0.4,0.2
OUT_00225,DIST_W_02,Eatery,1,94.66,37.86,37.87,18.93,0.4,0.4,0.2
OUT_00226,DIST_W_01,Pharmacy,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00227,DIST_W_01,Hotel,2,24.97,9.99,9.99,4.99,0.4,0.4,0.2
OUT_00228,DIST_W_03,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00229,DIST_W_01,Bakery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00230,DIST_W_03,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00231,DIST_W_01,Grocery,2,1550.81,620.32,620.33,310.16,0.4,0.4,0.2
OUT_00232,DIST_W_02,Bakery,2,2.01,0.8,0.81,0.4,0.4,0.4,0.2
OUT_00233,DIST_W_03,Pharmacy,2,1703.72,681.49,681.49,340.74,0.4,0.4,0.2
OUT_00234,DIST_W_01,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00235,DIST_W_02,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00236,DIST_W_02,Eatery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00237,DIST_W_02,Kiosk,3,1426.38,570.55,570.55,285.28,0.4,0.4,0.2
OUT_00238,DIST_W_03,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00239,DIST_W_03,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00240,DIST_W_02,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00241,DIST_W_02,Kiosk,2,435.13,174.05,174.05,87.03,0.4,0.4,0.2
OUT_00242,DIST_W_03,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00243,DIST_W_02,Pharmacy,1,0.26,0.05,0.08,0.13,0.2,0.3,0.5
OUT_00244,DIST_W_03,SMMT,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00245,DIST_W_03,Eatery,1,0.0,0.0,0.0,0.0,0.2,0.3,0.5
OUT_00246,DIST_W_02,Bakery,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00247,DIST_W_03,Kiosk,4,813.46,325.38,325.39,162.69,0.4,0.4,0.2
OUT_00248,DIST_W_02,Pharmacy,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00249,DIST_W_01,Bakery,2,868.6,347.44,347.44,173.72,0.4,0.4,0.2
OUT_00250,DIST_W_01,Eatery,2,4999.75,999.95,1499.92,2499.88,0.2,0.3,0.5
OUT_00251,DIST_W_01,Kiosk,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00252,DIST_W_03,Grocery,3,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00253,DIST_W_03,SMMT,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00254,DIST_W_01,Bakery,3,1823.96,729.58,729.59,364.79,0.4,0.4,0.2
OUT_00255,DIST_W_02,Kiosk,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00256,DIST_W_01,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00257,DIST_W_03,Hotel,2,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00258,DIST_W_02,Bakery,3,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00259,DIST_W_02,Pharmacy,4,1205.78,482.31,482.31,241.16,0.4,0.4,0.2
OUT_00260,DIST_W_01,Pharmacy,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00261,DIST_W_02,Kiosk,2,1.89,0.76,0.75,0.38,0.4,0.4,0.2
OUT_00262,DIST_W_01,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00263,DIST_W_02,Eatery,2,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00264,DIST_W_03,Bakery,2,6.81,2.72,2.73,1.36,0.4,0.4,0.2
OUT_00265,DIST_W_01,SMMT,4,617.28,246.91,246.91,123.46,0.4,0.4,0.2
OUT_00266,DIST_W_02,Pharmacy,2,59.36,23.74,23.75,11.87,0.4,0.4,0.2
OUT_00267,DIST_W_03,Pharmacy,5,1027.65,411.06,411.06,205.53,0.4,0.4,0.2
OUT_00268,DIST_W_03,Pharmacy,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00269,DIST_W_03,Hotel,1,0.0,0.0,0.0,0.0,0.2,0.3,0.5
OUT_00270,DIST_W_02,SMMT,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00271,DIST_W_02,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00272,DIST_W_03,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00273,DIST_W_01,Pharmacy,2,1396.2,558.48,558.48,279.24,0.4,0.4,0.2
